x1,x2,cls
161.6,2809.0,1.0
162.5,2893.0,1.0
214.6,2824.0,1.0
168.0,2757.0,1.0
198.2,2804.0,1.0
80.5,2842.0,1.0
176.2,2772.0,1.0
151.3,2772.0,1.0
121.8,2829.0,1.0
168.2,2819.0,1.0
175.4,2818.0,1.0
167.8,2770.0,1.0
164.1,2803.0,1.0
194.7,2787.0,1.0
188.7,2831.0,1.0
102.2,2861.0,1.0
207.1,2863.0,1.0
107.7,2824.0,1.0
158.2,2767.0,1.0
136.8,2813.0,1.0
138.9,2827.0,1.0
153.7,2888.0,1.0
122.1,2756.0,1.0
133.8,2786.0,1.0
168.3,2823.0,1.0
134.7,2766.0,1.0
161.1,2807.0,1.0
108.2,2821.0,1.0
153.2,2828.0,1.0
190.0,2749.0,1.0
163.5,2807.0,1.0
143.0,2809.0,1.0
199.1,2851.0,1.0
201.8,2782.0,1.0
119.2,2805.0,1.0
145.5,2837.0,1.0
157.8,2811.0,1.0
138.4,2866.0,1.0
217.6,2863.0,1.0
182.5,2733.0,1.0
156.5,2803.0,1.0
99.3,2810.0,1.0
193.7,2776.0,1.0
86.7,2796.0,1.0
152.8,2820.0,1.0
126.8,2804.0,1.0
110.7,2829.0,1.0
167.4,2868.0,1.0
145.9,2785.0,1.0
178.3,2714.0,1.0
112.0,2781.0,1.0
167.3,2838.0,1.0
94.4,2871.0,1.0
94.1,2766.0,1.0
181.9,2803.0,1.0
171.7,2794.0,1.0
186.6,2808.0,1.0
169.4,2794.0,1.0
189.8,2795.0,1.0
123.2,2701.0,1.0
164.6,2836.0,1.0
147.6,2818.0,1.0
99.5,2811.0,1.0
155.7,2757.0,1.0
165.8,2730.0,1.0
165.0,2791.0,1.0
161.7,2841.0,1.0
129.6,2829.0,1.0
165.8,2857.0,1.0
134.7,2791.0,1.0
191.0,2829.0,1.0
238.8,2787.0,1.0
45.6,2743.0,1.0
116.4,2745.0,1.0
115.9,2800.0,1.0
135.1,2785.0,1.0
206.1,2755.0,1.0
124.7,2795.0,1.0
129.2,2766.0,1.0
118.1,2746.0,1.0
158.0,2854.0,1.0
192.1,2781.0,1.0
128.5,2815.0,1.0
131.9,2806.0,1.0
28.9,2719.0,1.0
160.8,2714.0,1.0
122.1,2810.0,1.0
180.3,2788.0,1.0
147.9,2783.0,1.0
136.6,2843.0,1.0
109.8,2775.0,1.0
148.6,2824.0,1.0
114.2,2795.0,1.0
194.0,2828.0,1.0
126.0,2806.0,1.0
107.9,2795.0,1.0
195.2,2811.0,1.0
136.0,2874.0,1.0
132.1,2809.0,1.0
132.6,2767.0,1.0
218.7,2668.0,-1.0
147.0,2690.0,-1.0
185.1,2602.0,-1.0
145.7,2652.0,-1.0
208.8,2673.0,-1.0
217.5,2704.0,-1.0
220.7,2625.0,-1.0
191.3,2673.0,-1.0
186.3,2671.0,-1.0
186.9,2616.0,-1.0
135.4,2710.0,-1.0
197.7,2626.0,-1.0
211.2,2616.0,-1.0
143.1,2631.0,-1.0
131.3,2645.0,-1.0
146.6,2664.0,-1.0
191.4,2629.0,-1.0
216.1,2664.0,-1.0
197.1,2756.0,-1.0
224.0,2690.0,-1.0
261.8,2633.0,-1.0
189.5,2645.0,-1.0
170.5,2667.0,-1.0
186.0,2674.0,-1.0
175.5,2629.0,-1.0
173.8,2670.0,-1.0
174.7,2652.0,-1.0
237.0,2710.0,-1.0
174.0,2637.0,-1.0
125.3,2688.0,-1.0
161.7,2664.0,-1.0
221.7,2650.0,-1.0
216.7,2637.0,-1.0
203.0,2627.0,-1.0
219.4,2619.0,-1.0
237.1,2674.0,-1.0
222.2,2660.0,-1.0
203.6,2656.0,-1.0
120.9,2658.0,-1.0
170.9,2623.0,-1.0
180.5,2576.0,-1.0
223.2,2706.0,-1.0
183.5,2647.0,-1.0
219.2,2609.0,-1.0
178.3,2709.0,-1.0
172.3,2607.0,-1.0
158.6,2576.0,-1.0
186.9,2671.0,-1.0
221.3,2667.0,-1.0
193.9,2645.0,-1.0
144.1,2643.0,-1.0
223.7,2660.0,-1.0
177.2,2644.0,-1.0
189.0,2680.0,-1.0
175.2,2614.0,-1.0
200.1,2591.0,-1.0
207.4,2702.0,-1.0
224.8,2646.0,-1.0
203.0,2640.0,-1.0
207.5,2606.0,-1.0
112.0,2736.0,-1.0
224.0,2601.0,-1.0
151.8,2649.0,-1.0
142.3,2620.0,-1.0
161.7,2700.0,-1.0
206.4,2589.0,-1.0
167.3,2626.0,-1.0
161.8,2614.0,-1.0
155.9,2635.0,-1.0
166.1,2635.0,-1.0
188.6,2662.0,-1.0
154.3,2645.0,-1.0
129.9,2621.0,-1.0
113.1,2686.0,-1.0
165.3,2661.0,-1.0
193.8,2666.0,-1.0
132.0,2617.0,-1.0
170.3,2588.0,-1.0
207.0,2692.0,-1.0
148.6,2749.0,-1.0
179.7,2589.0,-1.0
198.2,2640.0,-1.0
171.2,2638.0,-1.0
121.3,2663.0,-1.0
214.1,2627.0,-1.0
170.2,2632.0,-1.0
155.6,2618.0,-1.0
151.4,2638.0,-1.0
195.6,2644.0,-1.0
100.7,2694.0,-1.0
162.6,2626.0,-1.0
159.8,2635.0,-1.0
203.9,2689.0,-1.0
149.6,2604.0,-1.0
195.8,2690.0,-1.0
112.0,2628.0,-1.0
98.8,2681.0,-1.0
122.7,2628.0,-1.0
181.8,2658.0,-1.0
161.8,2673.0,-1.0
